distance_to_entry,crowd_level,accessibility,user_type,friction_score
189.29,0.6808,0.4017,1,0.5852
106.13,0.2376,0.7457,1,0.237
15.87,0.8174,0.3031,1,0.3898
258.89,0.6849,0.9725,0,0.6116
292.52,0.4431,0.8258,1,0.5624
185.44,0.0893,0.4417,1,0.3555
230.25,0.8672,0.821,2,0.4822
29.03,0.7096,0.4034,2,0.214
18.39,0.1928,0.8329,0,0.1135
142.37,0.918,0.7046,1,0.506
144.62,0.3969,0.9231,2,0.1231
118.02,0.594,0.1776,1,0.4746
111.43,0.1635,0.8945,2,0.0453
36.21,0.0275,0.0497,2,0.0508
72.15,0.2214,0.2251,0,0.3268
128.76,0.0201,0.7803,2,0.0
274.34,0.6474,0.6011,0,0.7013
186.42,0.943,0.7127,2,0.4557
132.9,0.3765,0.3487,1,0.3645
97.62,0.5206,0.6236,2,0.1601
158.34,0.6624,0.8433,1,0.4244
182.19,0.2827,0.6844,1,0.3292
296.62,0.6406,0.8615,1,0.6262
286.13,0.6515,0.1884,2,0.6155
270.91,0.8054,0.8024,2,0.502
102.68,0.1399,0.0255,1,0.3477
85.23,0.4186,0.3883,0,0.4017
298.48,0.816,0.3432,2,0.628
165.04,0.7849,0.9065,2,0.3125
97.06,0.17,0.6576,2,0.0344
38.3,0.1279,0.2587,2,0.0463
63.09,0.6797,0.3356,0,0.4487
74.77,0.8714,0.4205,1,0.4453
179.82,0.4638,0.1178,0,0.6305
179.24,0.9443,0.0712,0,0.7852
261.57,0.3817,0.2984,0,0.6885
53.73,0.9923,0.3427,2,0.3629
296.13,0.1432,0.8624,0,0.5386
151.4,0.631,0.1768,2,0.3661
141.1,0.2094,0.7735,2,0.1261
151.98,0.7636,0.088,2,0.4537
134.53,0.429,0.4774,0,0.4287
67.83,0.3731,0.0141,1,0.3649
164.0,0.0179,0.0041,2,0.2164
211.12,0.3443,0.1289,1,0.5316
98.77,0.0653,0.0457,1,0.2792
160.88,0.5241,0.4337,2,0.3477
109.39,0.9014,0.3593,0,0.5876
273.0,0.812,0.0191,0,0.9035
48.05,0.7341,0.5897,0,0.3885
216.22,0.7921,0.3752,2,0.4919
165.07,0.0486,0.9947,2,0.0222
252.47,0.0482,0.1158,1,0.4852
168.71,0.4744,0.1531,2,0.3796
12.7,0.4209,0.101,2,0.1124
185.63,0.1372,0.8307,0,0.361
189.13,0.2827,0.7848,1,0.3276
67.93,0.263,0.5231,0,0.2808
128.83,0.1604,0.5481,0,0.3511
149.39,0.2345,0.0127,0,0.528
252.22,0.669,0.1491,0,0.7994
31.76,0.7236,0.9048,2,0.0838
296.71,0.296,0.4643,0,0.6746
263.5,0.8522,0.3602,2,0.5902
224.18,0.095,0.7582,0,0.3885
50.13,0.6472,0.3287,1,0.3833
87.81,0.7331,0.3726,1,0.4148
126.23,0.9623,0.2718,1,0.6032
148.69,0.4217,0.8861,0,0.3702
211.89,0.0586,0.9425,0,0.3261
274.26,0.4827,0.5689,1,0.5674
120.13,0.3586,0.0288,2,0.3027
220.91,0.8918,0.4831,1,0.6437
129.27,0.046,0.2616,1,0.2484
261.82,0.5248,0.7436,2,0.4116
293.59,0.6698,0.3383,2,0.5984
189.29,0.4328,0.7267,1,0.4008
206.13,0.3849,0.839,2,0.2796
187.75,0.0116,0.9344,2,0.0997
257.04,0.8694,0.0749,1,0.7841
105.96,0.2782,0.5069,2,0.1435
126.95,0.235,0.4591,2,0.1577
258.41,0.4471,0.1187,1,0.6551
15.15,0.4034,0.0358,2,0.1068
36.36,0.6042,0.6191,1,0.2856
173.08,0.6546,0.4562,1,0.5093
25.74,0.2229,0.4545,2,0.0218
183.99,0.7167,0.3633,1,0.551
230.2,0.2217,0.3414,2,0.3625
94.68,0.522,0.7021,0,0.4081
152.8,0.8218,0.7425,1,0.4647
187.15,0.1875,0.9302,1,0.2632
249.12,0.1906,0.3379,1,0.4656
193.64,0.6721,0.1232,1,0.6185
180.9,0.5042,0.9639,0,0.4569
24.09,0.9353,0.8388,1,0.3412
236.51,0.9102,0.6918,0,0.7488
47.23,0.3874,0.6005,1,0.2066
121.55,0.9795,0.9159,0,0.5284
289.44,0.9705,0.4528,0,0.8616
184.73,0.8864,0.5123,2,0.4677
101.03,0.7368,0.5536,0,0.4808
191.01,0.2906,0.3453,2,0.2771
216.01,0.9752,0.1778,2,0.6214
103.49,0.1154,0.3522,1,0.2502
283.38,0.7101,0.6742,2,0.5059
255.72,0.8083,0.5227,0,0.7548
25.39,0.0566,0.267,0,0.2335
208.18,0.1464,0.062,1,0.4534
166.94,0.3587,0.4526,2,0.2875
224.45,0.8648,0.7424,2,0.4642
158.17,0.7968,0.6961,2,0.3668
278.68,0.3876,0.9567,2,0.3311
170.12,0.013,0.2513,2,0.2116
259.53,0.4431,0.2255,2,0.4916
197.81,0.7551,0.5466,2,0.4135
220.23,0.1935,0.4488,2,0.2628
289.12,0.7351,0.1194,0,0.8628
171.41,0.1301,0.584,1,0.2762
145.24,0.9375,0.0399,1,0.6638
234.36,0.6254,0.8431,1,0.5212
176.08,0.3581,0.784,1,0.3542
287.53,0.5206,0.7863,0,0.6512
165.74,0.0919,0.2212,0,0.4463
106.01,0.2936,0.9503,2,0.0535
299.02,0.8237,0.9811,0,0.7175
